Картриджи для лазерных принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
"<div class=""title""><a href=""106r00646/""><b>Xerox 106R00646</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3310/"">Phaser 3310</a>, <a href=""/cartridge/samsung/""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/sf-340/"">SF-340</a></div>",3500          ,2900          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r00676/""><b>Xerox 106R00676</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6100/"">Phaser 6100</a></div>",-          ,-          ,6200,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""106r00677/""><b>Xerox 106R00677</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6100/"">Phaser 6100</a></div>",-          ,-          ,9770,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""106r00678/""><b>Xerox 106R00678</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6100/"">Phaser 6100</a></div>",-          ,-          ,9770,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""106r00679/""><b>Xerox 106R00679</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6100/"">Phaser 6100</a></div>",-          ,-          ,8520,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01034/""><b>Xerox 106R01034</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3420/"">Phaser 3420</a>, <a href=""/printer/xerox/phaser-3425/"">Phaser 3425</a>, <a href=""/cartridge/samsung/""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/ml-2550/"">ML-2550</a>, <a href=""/printer/samsung/ml-2551/"">ML-2551</a>, <a href=""/printer/samsung/ml-2552/"">ML-2552</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01048/""><b>Xerox 106R01048</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-m20/"">WorkCentre M20</a>, <a href=""/printer/xerox/wc-m20i/"">WorkCentre M20i</a>, <a href=""/cartridge/samsung/""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/ml-6220/"">ML-6220</a>, <a href=""/printer/samsung/ml-6320f/"">ML-6320F</a></div>",2700          ,2600          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01149/""><b>Xerox 106R01149</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3500/"">Phaser 3500</a></div>",-          ,-          ,5500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01159/""><b>Xerox 106R01159</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3117/"">Phaser 3117</a>, <a href=""/printer/xerox/phaser-3122/"">Phaser 3122</a>, <a href=""/printer/xerox/phaser-3124/"">Phaser 3124</a>, <a href=""/printer/xerox/phaser-3125/"">Phaser 3125</a></div>",1450          ,1400          ,3300,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01159-og/""><b>Xerox 106R01159 (ОГ)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/i-sensys-lbp312x/"">i-SENSYS LBP312x</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01160/""><b>Xerox 106R01160</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-7760/"">Phaser 7760</a></div>",-          ,-          ,14950,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""106R01203/""><b>Xerox 106R01203</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6110/"">Phaser 6110</a>, <a href=""/printer/xerox/phaser-6110mfp/"">Phaser 6110mfp</a>, <a href=""/cartridge/samsung/""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/clp-300/"">CLP-300</a></div>",1100          ,990          ,3500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106R01204/""><b>Xerox 106R01204</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/samsung/""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/clp-300/"">CLP-300</a></div>",1100          ,990          ,2200,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""106R01205/""><b>Xerox 106R01205</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/samsung/""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/clp-300/"">CLP-300</a></div>",1100          ,990          ,2200,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""106R01206/""><b>Xerox 106R01206</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/samsung/""><b>Samsung</b></a>:
                  <a href=""/printer/samsung/clp-300/"">CLP-300</a></div>",1100          ,990          ,2200,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""106r01246/""><b>Xerox 106R01246</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/panasonic/""><b>Panasonic</b></a>:
                  <a href=""/printer/panasonic/kx-fp85/"">KX-FP85</a></div>",1620          ,1570          ,6500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01277/""><b>Xerox 106R01277 (2шт/уп)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5020/"">WorkCentre 5020</a>, <a href=""/printer/xerox/wc-5016/"">WorkCentre 5016</a></div>",1200          ,1100          ,3540,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r01282/""><b>Xerox 106R01282</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6130n/"">Phaser 6130N</a></div>",1800          ,1700          ,10980,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""106r01283/""><b>Xerox 106R01283</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6130n/"">Phaser 6130N</a></div>",1800          ,1700          ,10980,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""106r01284/""><b>Xerox 106R01284</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-6130n/"">Phaser 6130N</a></div>",1800          ,1700          ,10980,"<span class=""rini_color-square-yellow""></span>"
