Картриджи для принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
"<div class=""title""><a href=""tn-320c/""><b>Brother TN-320C</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-9970cdw/"">MFC 9970cdw</a></div>",-          ,-          ,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""tn-320m/""><b>Brother TN-320M</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-9970cdw/"">MFC 9970cdw</a></div>",-          ,-          ,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""tn-320y/""><b>Brother TN-320Y</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-9970cdw/"">MFC 9970cdw</a></div>",-          ,-          ,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""tn-325bk/""><b>Brother TN-325BK</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-9970cdw/"">MFC 9970cdw</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-3280/""><b>Brother TN-3280</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-5340/"">HL-5340</a>, <a href=""/printer/brother/hl-5350/"">HL-5350</a>, <a href=""/printer/brother/hl-5370/"">HL-5370</a>, <a href=""/printer/brother/scp-8085/"">DCP-8085</a>, <a href=""/printer/brother/dcp-8070/"">DCP 8070</a></div>",1600          ,1500          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-3380/""><b>Brother TN-3380</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-5450dn/"">HL-5450DN</a>, <a href=""/printer/brother/hl-5470dwr/"">HL-5470DWR</a>, <a href=""/printer/brother/dcp-3300/"">DCP-8110DN</a></div>",2100          ,1950          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-3480/""><b>Brother TN-3480</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-l5500/"">DCP-L5500</a>, <a href=""/printer/brother/dcp-l5600/"">DCP-L5600</a>, <a href=""/printer/brother/hl-l5000/"">HL-L5000</a>, <a href=""/printer/brother/mfc-l5750/"">MFC-L5750</a>, <a href=""/printer/brother/hl-l6300/"">HL-L6300</a></div>",1900          ,1800          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn3512/""><b>Brother TN-3512</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/hp/""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-m209/"">M209</a></div>",2100          ,1900          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-6600/""><b>Brother TN-6600</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/fax-8360p/"">FAX-8360P</a>, <a href=""/printer/brother/hl-1030/"">HL-1030</a></div>",-          ,-          ,7350,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""pc-302rf/""><b>Brother РС-302RF</b></a></div>",-          ,-          ,500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""lc1000bk/""><b>Brother LC1000BK</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-130c/"">DCP-130C</a></div>",400          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""lc1000c/""><b>Brother LC1000C</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-130c/"">DCP-130C</a></div>",400          ,-          ,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""lc1000m/""><b>Brother LC1000M</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-130c/"">DCP-130C</a></div>",400          ,-          ,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""lc1000y/""><b>Brother LC1000Y</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-130c/"">DCP-130C</a></div>",400          ,-          ,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""lc-1100bk/""><b>Brother LC1100BK</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-185c/"">DCP-185C</a>, <a href=""/printer/brother/dcp-585cw/"">DCP-585CW</a>, <a href=""/printer/brother/mfc-490cw/"">MFC-490CW</a></div>",300          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""lc1100c/""><b>Brother LC1100C</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-490cw/"">MFC-490CW</a></div>",300          ,-          ,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""lc1100hybk/""><b>Brother LC1100HYBK</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-6690cw/"">DCP-6690CW</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
