Картриджи для принтеров,Cовместимый,Unnamed: 2,Ориг.,Цвет
"<div class=""title""><a href=""c3906a/""><b>HP C3906A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-5l/"">LaserJet 5L</a>, <a href=""/printer/hp/lj-6l/"">LaserJet 6L</a>, <a href=""/printer/hp/lj-3100/"">LaserJet 3100</a>, <a href=""/printer/hp/lj-3150/"">LaserJet 3150</a></div>",1550,1400,3500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c3909a/""><b>HP C3909A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-5si/"">LaserJet 5si</a>, <a href=""/printer/hp/lj-8000/"">LaserJet 8000</a>, <a href=""/printer/hp/lj-8000dn/"">LaserJet 8000dn</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c4092a-og/""><b>HP C4092A/EP-22 ОГ</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/epson/""><b>Epson</b></a>:
                  <a href=""/printer/epson/al-alm2300/"">AcuLaser ALM2300</a></div>",850,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c4096a/""><b>HP C4096A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-2100/"">LaserJet 2100</a>, <a href=""/printer/hp/lj-2100m/"">LaserJet 2100m</a>, <a href=""/printer/hp/lj-2100tn/"">LaserJet 2100tn</a>, <a href=""/printer/hp/lj-2200/"">LaserJet 2200</a>, <a href=""/printer/hp/lj-2200d/"">LaserJet 2200d</a>, <a href=""/printer/hp/lj-2200dn/"">LaserJet 2200dn</a>, <a href=""/printer/hp/lj-2200dt/"">LaserJet 2200dt</a>, <a href=""/printer/hp/lj-2200dtn/"">LaserJet 2200dtn</a></div>",1290,1500,2900,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c4096a-og/""><b>HP C4096A ОГ</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/epson/""><b>Epson</b></a>:
                  <a href=""/printer/epson/al-alm2300/"">AcuLaser ALM2300</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c4127a/""><b>HP C4127A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-4000/"">LaserJet 4000</a>, <a href=""/printer/hp/lj-4000n/"">LaserJet 4000n</a>, <a href=""/printer/hp/lf-4050n/"">LaserJet 4050n</a>, <a href=""/printer/hp/lj-4050/"">LaserJet 4050</a></div>",1900,1800,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c4127x/""><b>HP C4127X</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-4050/"">LaserJet 4050</a></div>",2000,1850,4500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c4129x/""><b>HP C4129X</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-5000/"">LaserJet 5000</a>, <a href=""/printer/hp/lj-5000n/"">LaserJet 5000n</a>, <a href=""/printer/hp/lj-5100/"">LaserJet 5100</a>, <a href=""/printer/hp/lj-5100n/"">LaserJet 5100n</a>, <a href=""/printer/hp/lj-5100dtn/"">LaserJet 5100dtn</a></div>",2400,2000,14230,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c4182x/""><b>HP C4182X</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-8100/"">LaserJet 8100</a>, <a href=""/printer/hp/lj-8100dn/"">LaserJet 8100dn</a>, <a href=""/printer/hp/lj-8100mfp/"">LaserJet 8100mfp</a>, <a href=""/printer/hp/lj-8100n/"">LaserJet 8100n</a>, <a href=""/printer/hp/lj-8150/"">LaserJet 8150</a>, <a href=""/printer/hp/lj-8150dn/"">LaserJet 8150dn</a>, <a href=""/printer/hp/lj-8150mfp/"">LaserJet 8150mfp</a>, <a href=""/printer/hp/lj-8150n/"">LaserJet 8150n</a>, <a href=""/printer/hp/lj-mopier-320/"">LaserJet Mopier 320</a></div>",-          ,-          ,11500,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c4191a/""><b>HP C4191A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/lbp6020/"">LBP6020</a></div>",-          ,-          ,3300,"<span class=""rini_color-square-black""></span>"
